=== Auction 13 Results ===
Generated: 2025-09-28 18:14:22

Winner: Bidder 7
Winning Amount: 149.64
Total Bids Received: 79

=== All Bids ===
Bidder ID  | Amount    
----------------------
7          | 149.64    
23         | 148.34    
60         | 147.40    
36         | 147.16    
19         | 145.22    
65         | 145.21    
5          | 144.75    
92         | 143.30    
88         | 142.83    
51         | 142.27    
9          | 137.96    
21         | 137.86    
55         | 137.84    
59         | 136.42    
11         | 133.00    
84         | 130.88    
4          | 130.33    
45         | 129.74    
2          | 129.10    
75         | 123.75    
49         | 121.96    
12         | 119.98    
80         | 118.66    
54         | 116.14    
56         | 114.80    
27         | 114.34    
73         | 113.97    
18         | 113.81    
78         | 111.75    
33         | 110.15    
70         | 108.38    
66         | 108.20    
48         | 107.49    
1          | 107.26    
62         | 107.02    
72         | 106.80    
63         | 105.97    
71         | 105.69    
81         | 105.33    
52         | 104.68    
90         | 104.31    
37         | 103.80    
46         | 101.63    
44         | 98.39     
3          | 98.26     
94         | 95.33     
83         | 94.87     
28         | 91.31     
99         | 90.35     
42         | 87.60     
31         | 87.60     
50         | 87.05     
6          | 86.87     
53         | 80.40     
58         | 80.35     
13         | 79.27     
40         | 77.71     
47         | 77.33     
39         | 76.05     
29         | 74.88     
22         | 74.16     
69         | 73.39     
98         | 73.19     
35         | 72.63     
25         | 72.42     
67         | 71.99     
15         | 69.52     
82         | 68.55     
16         | 67.55     
20         | 66.09     
41         | 62.63     
87         | 60.63     
26         | 57.87     
100        | 57.37     
14         | 57.23     
38         | 56.06     
17         | 55.09     
68         | 54.74     
64         | 54.05     
